time_x,datetime,Blue,Green,Red,NIR,visnirAlbedo,time_y,elevation,slope,aspect,hillshade,time_end
1438366070705,2015-07-31 18:07:50.705,0.983709990978241,0.8981299996376038,0.8222025036811829,0.5600175261497498,0.6386553247451785,1438300800000.0,708.0610961914062,1.0,152.0,179.0,1438300800000.0
1438538129223,2015-08-02 17:55:29.223,0.9937750101089478,0.8916674852371216,0.8434324860572815,0.6175199747085571,0.6546553712368013,1438473600000.0,708.4098510742188,2.0,292.0,186.0,1438473600000.0
1438538153093,2015-08-02 17:55:53.093,0.7810075283050537,0.7406924962997437,0.7112950086593628,0.5484949946403503,0.5503994194686415,1438473600000.0,708.4098510742188,2.0,292.0,186.0,1438473600000.0
1439315385619,2015-08-11 17:49:45.619,0.9086350202560424,0.8379049897193909,0.7966824769973755,0.5979675054550171,0.6144396335959432,1439251200000.0,706.4488525390625,4.0,296.0,192.0,1439251200000.0
1439404358095,2015-08-12 18:32:38.095,0.8864700198173523,0.8316349983215332,0.7961050271987915,0.5811924934387207,0.5782311009824277,1439424000000.0,707.6377563476562,2.0,250.0,186.0,1439424000000.0
1439576417596,2015-08-14 18:20:17.596,0.8772850036621094,0.8087825179100037,0.7609599828720093,0.565214991569519,0.6027293475389484,1439683200000.0,710.9562377929688,2.0,192.0,182.0,1439683200000.0
1441302964733,2015-09-03 17:56:04.733,0.9192774891853333,0.8766800165176392,0.8638924956321716,0.7635999917984009,0.6818680064141751,1441324800000.0,711.5169677734375,1.0,264.0,182.0,1441324800000.0
1465770653099,2016-06-12 22:30:53.099,0.9747999906539916,0.9312949776649476,0.911632478237152,0.7432224750518799,0.6619141412496568,1465862400000.0,705.896728515625,3.0,8.0,179.0,1465862400000.0
1467829599649,2016-07-06 18:26:39.649,0.941195011138916,0.8060324788093567,0.660337507724762,0.341447502374649,0.6293766180545092,1468022400000.0,711.240966796875,6.0,76.0,163.0,1468022400000.0
1467841322545,2016-07-06 21:42:02.545,0.8849024772644043,0.7408850193023682,0.6058325171470642,0.3136174976825714,0.6085696826964618,1468022400000.0,711.240966796875,6.0,76.0,163.0,1468022400000.0
1468013381841,2016-07-08 21:29:41.841,0.9778525233268738,0.8152449727058411,0.5577899813652039,0.0982099995017051,0.6307082016967238,1468022400000.0,711.240966796875,6.0,76.0,163.0,1468022400000.0
1468013405711,2016-07-08 21:30:05.711,0.9858825206756592,0.8265475034713745,0.6246150135993958,0.207467496395111,0.6230770637452603,1468022400000.0,711.240966796875,6.0,76.0,163.0,1468022400000.0
1468102354082,2016-07-09 22:12:34.082,0.913777470588684,0.772427499294281,0.6215900182723999,0.3126274943351745,0.6261856393039226,1468022400000.0,706.8915405273438,1.0,12.0,179.0,1468022400000.0
1468102377960,2016-07-09 22:12:57.960,0.8392800092697144,0.720425009727478,0.583667516708374,0.271432489156723,0.5594738625496627,1468022400000.0,706.8915405273438,1.0,12.0,179.0,1468022400000.0
1468173718157,2016-07-10 18:01:58.157,0.906297504901886,0.797617495059967,0.718720018863678,0.428787499666214,0.5686180677622557,1468281600000.0,708.2476806640625,3.0,26.0,176.0,1468281600000.0
1468274437159,2016-07-11 22:00:37.159,0.915565013885498,0.8129349946975708,0.7450649738311768,0.4738599956035614,0.5808651738375425,1468281600000.0,708.2476806640625,3.0,26.0,176.0,1468281600000.0
1468345801184,2016-07-12 17:50:01.184,0.9911900162696838,0.8621875047683716,0.7792750000953674,0.5145050287246704,0.6525288073241711,1468281600000.0,705.3547973632812,3.0,30.0,175.0,1468281600000.0
1468434749554,2016-07-13 18:32:29.554,0.9088000059127808,0.8207449913024902,0.76197749376297,0.5128275156021118,0.5865960229396819,1468454400000.0,705.784912109375,3.0,59.0,172.0,1468454400000.0
1468434773424,2016-07-13 18:32:53.424,0.8432949781417847,0.7739675045013428,0.7433325052261353,0.5013599991798401,0.5227114496648311,1468454400000.0,705.784912109375,3.0,59.0,172.0,1468454400000.0
1468446496299,2016-07-13 21:48:16.299,0.9717475175857544,0.865542471408844,0.7923924922943115,0.5285850167274475,0.6292284004509451,1468454400000.0,705.784912109375,3.0,59.0,172.0,1468454400000.0
1468517860281,2016-07-14 17:37:40.281,0.9680625200271606,0.8378775119781494,0.7758650183677673,0.520389974117279,0.6269215272486212,1468454400000.0,708.1627807617188,5.0,321.0,190.0,1468454400000.0
1468535468484,2016-07-14 22:31:08.484,0.8238800168037415,0.7500699758529663,0.6881675124168396,0.4733650088310241,0.5643830430030823,1468454400000.0,708.1627807617188,5.0,321.0,190.0,1468454400000.0
1468606832508,2016-07-15 18:20:32.508,0.8956825137138367,0.8200024962425232,0.7730324864387512,0.5568000078201294,0.595917681211233,1468627200000.0,705.7761840820312,1.0,135.0,179.0,1468627200000.0
